Date,Description,Amount
2024-01-02,Axis SIP,1942.63
2024-01-26,Dominos,4367.32
2024-01-18,Spencer,646.27
2024-01-31,Monthly Rent,745.24
2024-03-23,Big Bazaar,582.68
2024-03-18,Water Bill,3556.15
2024-03-11,Netflix,4470.39
2024-03-09,Monthly Rent,4215.82
2024-02-29,Nippon SIP,483.17
2024-01-01,Monthly Rent,3277.14
2024-02-05,Amazon,3987.39
2024-02-13,Flipkart,1123.44
2024-03-10,Uber,3687.32
2024-01-09,Nippon SIP,847.38
2024-01-11,KFC,372.73
2024-02-08,ICICI SIP,3858.16
2024-01-26,Ajio,4943.3
2024-02-06,Netflix,4125.73
2024-01-23,Indian Oil,4828.84
2024-03-10,Monthly Rent,4789.78
2024-03-11,Ajio,4211.69
2024-03-26,KFC,4104.18
2024-03-30,Myntra,1899.79
2024-01-09,Amazon,3462.59
2024-01-25,Indian Oil,3501.88
2024-01-13,ICICI SIP,4171.91
2024-02-06,Indian Oil,3567.83
2024-01-11,Starbucks,3154.44
2024-02-18,RedBus,637.67
2024-01-08,Reliance Fresh,1082.94
2024-01-22,Subway,1803.75
2024-01-04,HP Petrol Bunk,4612.07
2024-03-09,DMart,3366.61
2024-03-12,Myntra,1644.91
2024-02-16,Spotify,3586.98
2024-01-12,Flipkart,4040.07
2024-03-24,Monthly Rent,2198.19
2024-01-07,Gas Connection,3720.77
2024-02-03,Myntra,943.08
2024-03-30,Amazon,1180.0
2024-03-04,Indian Oil,2068.38
2024-02-09,Dominos,2646.97
2024-02-12,Monthly Rent,1845.79
2024-02-07,Nippon SIP,2469.67
2024-01-08,Kotak MF,2761.29
2024-03-11,HP Petrol Bunk,3246.05
2024-02-22,SBI MF,4928.34
2024-03-02,Monthly Rent,2968.03
2024-03-12,ICICI SIP,3337.22
2024-01-26,Subway,4608.39
2024-02-03,Myntra,2393.41
2024-03-23,Spencer,2505.93
2024-01-19,HP Petrol Bunk,4904.53
2024-01-22,Gas Connection,2005.41
2024-01-05,Hotstar,4161.22
2024-02-28,Nippon SIP,2860.01
2024-03-30,Nippon SIP,3551.59
2024-03-29,Netflix,1897.54
2024-01-13,Ola,3193.39
2024-03-16,Kotak MF,1916.08
2024-02-25,Ajio,4608.41
2024-02-07,Monthly Rent,2765.02
2024-01-18,Big Bazaar,2782.82
2024-02-23,ICICI SIP,927.42
