Date,Description,Amount
2025-03-01,Pizza Hut,550
2025-03-02,Netflix Subscription,499
2025-03-03,Monthly Rent,15000
2025-03-04,Groceries - Big Bazaar,2700
2025-03-05,Uber Ride,340
2025-03-06,Amazon Purchase - Electronics,5000
2025-03-07,Medical - Apollo Pharmacy,870
2025-03-08,Zomato - Lunch,380
2025-03-09,Electricity Bill,2400
2025-03-10,Dominos - Dinner,480
2025-03-11,Swiggy - Snacks,230
2025-03-12,Gym Membership,1500
2025-03-13,Spotify Subscription,119
2025-03-14,Internet Bill - Airtel,999
2025-03-15,Flipkart Purchase - Books,750
2025-03-16,Bus Ticket,60
2025-03-17,Coffee Day,180
2025-03-18,Mobile Recharge,399
2025-03-19,Cinema - PVR,600
2025-03-20,Clothing - Lifestyle Store,2800
2025-03-21,SIP - Axis Bluechip Fund,2000
2025-03-22,Mutual Fund - HDFC Midcap Opp Fund,2500
2025-03-23,Credit Card Bill Payment - HDFC,12000
2025-03-24,SIP - SBI Equity Hybrid Fund,1500
2025-03-25,Mutual Fund - ICICI Tech Fund,3000
2025-03-26,Credit Card Bill Payment - Axis,8500
2025-03-27,Invested in NPS,2000
2025-03-28,FD - HDFC Bank,10000
2025-03-29,Swiggy - Late Night Snacks,320
2025-03-30,Coffee - Starbucks,410
